Japanisch;English
せんしゅう;last week
こんしゅう;this week
らいしゅう;next week
せんげつ;last month
こんげつ;this month
らいげつ;next month
きょねん;last year
ことし;this year
らいねん;next year

-ねん;in year -
なんねん;in what year
-がつ;- month
なんがつ;What month

いちがつ;January
にがつ;February
さんがつ;March
しがつ;April
ごがつ;May
ろくがつ;June
しちがつ;July
はちがつ;August
くがつ;September
じゅうがつ;October
じゅういちがつ;November
じゅうにがつ;December

ついたち;1st of the month
ふつか;2nd of the month
みっか;3rd of the month
よっか;4th of the month
いつか;5th of the month
むいか;6th of the month
なのか;7th of the month
ようか;8th of the month
ここのか;9th of the month
とおか;10th of the month
じゅういちにち;11th of the month
じゅうににち;12th of the month
じゅうさんにち;13th of the month
じゅうよっか;14th of the month
じゅうごにち;15th of the month
じゅうろくにち;16th of the month
じゅうしちにち;17th of the month
じゅうはちにち;18th of the month
じゅうくにち;19th of the month
はつか;20th of the month
にじゅういちにち;21th of the month
にじゅうににち;22th of the month
にじゅうさんにち;23th of the month
にじゅうよっか;24th of the month
にじゅうごにち;25th of the month
にじゅうろくにち;26th of the month
にじゅうしちにち;27th of the month
にじゅうはちにち;28th of the month
にじゅうくにち;29th of the month
さんじゅうにち;30th of the month
さんじゅういちにち;31th of the month

-にち;-th of the month
なんにち;What day

いちじ;1 o'clock
にじ;2 o'clock
さんじ;3 o'clock
よじ;4 o'clock
ごじ;5 o'clock
ろくじ;6 o'clock
しちじ;7 o'clock
はちじ;8 o'clock
くじ;9 o'clock
しゅうじ;10 o'clock
しゅういちじ;11 o'clock
しゅうにじ;12 o'clock
なんじ;What time

ごふん;5 minutes
じゅっぷん;10 minutes

にちようび;Sunday
げつようび;Monday
かようび;Tuesday
すいようび;Wednesday
もくようび;Thursday
きんようび;Friday
どようび;Saturday
なんようび;What day of the week
