Kanji;Deutsch
久;lange Zeit
仏;Buddha, Frankreich
仮;unecht, vorläufig
件;Angelegenheit
任;Verantwortlichkeit, Amt
似;ähneln
余;Überschuss
価;Wert
保;bewahren
修;sich bessern
俵;Strohsack
個;Individuum
備;ausrüsten
像;Statue
再;wieder, Re-
刊;veröffentlichen
判;Gericht
制;Kontrolle
券;(Eintritts/Fahr)karte
則;Regel
効;Wirkung
務;dienen, Pflicht
勢;Energie
厚;dick, herzlich
句;Redensart
可;möglich sein, -bar
営;durchführen
因;Ursache
団;Gruppierung
圧;Druck
在;existieren
均;ausbalanciert, gleich
基;Fundament
報;Benachrichtigung, sich rächen
境;Grenze
墓;Grab
増;zunehmen
夢;Traum
妻;(eigene) Ehefrau
婦;Ehefrau, Dame
容;Inhalt
寄;sich nähern
富;Reichtum
導;führen, leiten
居;sich befinden, existieren
属;angehören
布;Stoff, Tuch
師;Fachmann, Lehrer
常;normal
幹;(Baum)stamm, Hauptteil
序;Reihenfolge, Vorrede
弁;Klappe, Sprechen
張;(auf)spannen
往;reisen, fortgehen
復;wiederaufnehmen, zurückkehren
徳;Tugend
志;Wille, Absicht
応;Antwort
快;freudig
性;Geschlecht
恩;Gnade, Gefallen
情;Gefühl
態;Zustand, Lage
慣;sich gewöhnen
承;erhalten, hinnehmen
技;Fähigkeit
招;herbeiwinken
授;unterrichten
採;aufnehmen, pflücken
接;zusammenfügen
提;vorlegen
損;Verlust
支;stützen
政;Politik
故;Ursache, Umstände
敵;Feind
断;abschneiden
旧;alte Zeiten
易;einfach, leicht
暴;Ausbruch, Gewalt
条;Klausel
枝;Ast, Zweig
査;untersuchen
格;Regel, Status
桜;Kirsche
検;inspizieren
構;bauen, konstruieren
武;Militär
比;vergleichen
永;lange Zeit, Ewigkeit
河;Fluss, Strom
液;Flüssigkeit,Saft
混;vermischen
減;verringern
測;messen
準;gleichwertig, Semi(finale)
演;aufführen
潔;unbefleckt
災;Unheil, Katastrophe
燃;brennen
版;Druckplatte
犯;Verbrechen
状;Form
独;allein, Deutschland
率;Verhältnis, Rate
現;gegenwärtig, erscheinen
留;aufhalten, anhalten
略;Abkürzung
益;Gewinn, Nutzen
眼;Augapfel
破;zerreißen, brechen
確;sicher, gewiss
示;zeigen
祖;Vorfahr
禁;Verbot
移;ändern, wechseln
程;Ausmaß
税;Steuer, Zoll
築;bauen
精;Energie, veredelt
素;elementar, ursprünglich
経;hindurchgehen, vergehen
統;Beziehung, herrschen
絶;enden, aussterben
綿;Baumwolle
総;allgemein, gesamt
編;stricken, zusammenstellen
績;Verdienste, (Seide) spinnen
織;weben
罪;Verbrechen, Schuld
群;Herde, Gruppe
義;Gerechtigkeit
耕;(einen Acker) bestellen, pflügen
職;Dienst, Anstellung
肥;Dünger
能;Fähigkeit
興;Amüsement, Unterhaltung
舌;Zunge
舎;Hütte, Herberge
術;Kunst(fähigkeit)
衛;verteidigen
製;herstellen
複;doppelt, mehrfach
規;Vorschrift
解;aufknoten, lösen
設;gründen, einrichten
許;erlauben
証;Bestätigung, Beweis
評;Kritik, Beurteilung
講;Vorlesung
謝;Dank, sich entschuldigen
識;aufzeichnen, unterscheiden
護;verteidigen, schützen
豊;reichlich, üppig
財;Geld, Besitz
貧;arm, dürftig
責;tadeln
貸;verleihen
貿;tauschen, handeln
賀;Gratulation
資;Mittel, Ressourcen
賛;loben, zustimmen
質;Qualität, Pfand
輸;transportieren
述;äußern, erwähnen
迷;Irrtum, sich verirren
退;sich zurückziehen
逆;umgekehrt, Gegenteil
造;bauen, herstellen
過;das Maß überschreiten
適;passend, entsprechend
酸;Säure
鉱;Erz, Mineral
銅;Kupfer
銭;Münze, Geld
防;verhindern, verteidigen
限;Grenze, einschränken
険;steil
際;Gelegenheit, Kante, gefährlich
雑;Gemisch, vermischt
非;un-, negativ, Fehler
預;in Verwahrung geben/nehmen
領;Territorium
額;Stirn, Menge, Summe
飼;(Tiere) halten, züchten
