Japanisch;Deutsch

やさい;Gemüse
きゅうり;Gurke
トマト;Tomate
なす;Aubergine
まめ;Bohne/Erbse
キャベツ;Weißkohl
ねぎ;Lauchzwiebel
はくさい;Chinakohl
ほうれんそう;Spinat
レタス;Eisbergsalat
じゃがいも;Kartoffel
だいこん;Rettich
たまねぎ;Zwiebel
にんじん;Möhre

くだもの;Obst
いちご;Erdbeere
もも;Pfirsich
すいか;Wassermelone
ぶどう;Trauben
なし;jap. Birne
かき;Kaki-Frucht
みかん;Mandarine
りんご;Apfel
バナナ;Banane

にく;Fleisch
ぎゅうにく;Rindfleisch
とりにく;Hühnerfleisch
ぶたにく;Schweinefleisch
ソーセージ;Wurst
ハム;Schinken

さかな;Fisch
あじ;Pferdemakrele
いわし;Sardine
さば;jap. Makrele
さんま;Hechtmakrele
さけ;Lachs
まぐろ;Thunfisch
たい;Meerbrasse
たら;Kabeljau
えび;Schrimps/Garnele
かに;Krabbe
いか;Tintenfisch
たこ;Oktopous

こめ;Reis
たまご;Ei
かい;Muschel
